dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank,model,run_id
A1,full,ALL,51230,51230,60.94713054317868,61.035716375354212,8.5940849594898712,49.842983035990571,72.053385057112735,,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,arxiv,1419,1419,63.862359595226806,64.405653734340603,5.6028494851220048,56.906174482532123,70.651443264974063,3,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,book,171,171,56.032520480791618,55.477675739252255,4.793530056477266,49.598163803233597,62.387529669959278,6,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,c4,10000,10000,66.002112661878627,66.911227190765203,8.8246313753386261,53.625345557942289,76.617331295351079,1,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,commoncrawl,9640,9640,64.335709953563565,65.084162425509632,7.2241902535951779,54.696296549653923,72.906316087931216,2,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,github,10000,10000,51.701407532414713,51.938064102872389,5.7047356160229059,44.435631057928731,58.417488464301094,7,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,stackexchange,10000,10000,61.387873335966582,61.410510310038923,5.9646170002418675,53.874201198766578,68.855801624065435,4,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,full,wikipedia,10000,10000,61.100906920424919,60.818230990289933,7.3010067009734021,52.359561219924586,70.726557239647448,5,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,ALL,40919,40919,60.924490838141423,60.998211246986124,8.5945548358534456,49.829699726764652,72.02487225767193,,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,arxiv,1146,1146,63.882791428867343,64.415310035807295,5.597645443598771,56.965470840198783,70.582333882823207,3,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,book,135,135,56.199863613271518,55.384786621425036,4.7791610783610468,50.202337581600005,62.438716209323829,6,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,c4,7944,7944,65.998656080583032,66.879782423246411,8.7874912342600577,53.743200572469718,76.56621399550977,1,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,commoncrawl,7676,7676,64.289095117023308,65.012629508863952,7.2244509704606665,54.68280379600489,72.835969509199032,2,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,github,8001,8001,51.670228516253246,51.937027203781177,5.7346726461020632,44.334700144106215,58.415256205620295,7,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,stackexchange,7957,7957,61.379004188282508,61.438592194587983,5.9779984309935292,53.859811144668058,68.836419791530574,4,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,fit,wikipedia,8060,8060,61.115375599690651,60.735736099513005,7.3092173170198897,52.379482895734263,70.713391002821638,5,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,ALL,10311,10311,61.036975765797166,61.180665998744196,8.5920485876892183,49.898608245704573,72.164539804852183,,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,arxiv,273,273,63.776590799065438,64.369630998920655,5.6341421474979638,56.386386194255756,71.036663012340398,3,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,book,36,36,55.404983733991969,55.850926690805039,4.862920281538079,48.907177809493874,61.395266579658539,6,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,c4,2056,2056,66.015468246417612,66.999890537968241,8.9688397025313176,53.150818642576525,76.83339558899678,1,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,commoncrawl,1964,1964,64.517897064196475,65.378681009588689,7.2221241178922497,54.756640358871266,73.033714368707834,2,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,github,1999,1999,51.826201583594234,51.953118199032119,5.5829744431182426,44.889971302695272,58.444584029716005,7,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
A1,holdout,stackexchange,2043,2043,61.422416560696036,61.270953686342281,5.9135380541487379,53.99172823712901,68.886793974037644,4,TOPSIS_CRITIC,q1-critic-topsis-20260924-r01
